timestamp,price_dkk
2026-04-11 22:00:00,0.06577
2026-04-11 22:15:00,0.05305
2026-04-11 22:30:00,0.05522
2026-04-11 22:45:00,0.05103
2026-04-11 23:00:00,0.05897
2026-04-11 23:15:00,0.053899999999999997
2026-04-11 23:30:00,0.05551
2026-04-11 23:45:00,0.058
2026-04-12 00:00:00,0.0565
2026-04-12 00:15:00,0.058070000000000004
2026-04-12 00:30:00,0.06063
2026-04-12 00:45:00,0.06307
2026-04-12 01:00:00,0.07474
2026-04-12 01:15:00,0.07731
2026-04-12 01:30:00,0.07511
2026-04-12 01:45:00,0.07908
2026-04-12 02:00:00,0.08226
2026-04-12 02:15:00,0.08395999999999999
2026-04-12 02:30:00,0.08647
2026-04-12 02:45:00,0.09004000000000001
2026-04-12 03:00:00,0.08632
2026-04-12 03:15:00,0.08977
2026-04-12 03:30:00,0.09106
2026-04-12 03:45:00,0.09119
2026-04-12 04:00:00,0.09101999999999999
2026-04-12 04:15:00,0.09065999999999999
2026-04-12 04:30:00,0.08717
2026-04-12 04:45:00,0.08696
2026-04-12 05:00:00,0.09415000000000001
2026-04-12 05:15:00,0.0891
2026-04-12 05:30:00,0.08405
2026-04-12 05:45:00,0.08225
2026-04-12 06:00:00,0.08799
2026-04-12 06:15:00,0.08128
2026-04-12 06:30:00,0.07714
2026-04-12 06:45:00,0.058
2026-04-12 07:00:00,0.06361
2026-04-12 07:15:00,0.056979999999999996
2026-04-12 07:30:00,0.047689999999999996
2026-04-12 07:45:00,0.04501
2026-04-12 08:00:00,0.04972
2026-04-12 08:15:00,0.02493
2026-04-12 08:30:00,0.02505
2026-04-12 08:45:00,0.02123
2026-04-12 09:00:00,0.02625
2026-04-12 09:15:00,0.02367
2026-04-12 09:30:00,0.02079
2026-04-12 09:45:00,0.018949999999999998
2026-04-12 10:00:00,0.02158
2026-04-12 10:15:00,0.01625
2026-04-12 10:30:00,0.015
2026-04-12 10:45:00,0.00707
2026-04-12 11:00:00,0.0076100000000000004
2026-04-12 11:15:00,0.00441
2026-04-12 11:30:00,0.00272
2026-04-12 11:45:00,0.00311
2026-04-12 12:00:00,0.00454
2026-04-12 12:15:00,0.0067
2026-04-12 12:30:00,0.01
2026-04-12 12:45:00,0.009349999999999999
2026-04-12 13:00:00,0.00596
2026-04-12 13:15:00,0.010039999999999999
2026-04-12 13:30:00,0.01723
2026-04-12 13:45:00,0.03039
2026-04-12 14:00:00,0.03309
2026-04-12 14:15:00,0.06155
2026-04-12 14:30:00,0.06613
2026-04-12 14:45:00,0.10687999999999999
2026-04-12 15:00:00,0.06043
2026-04-12 15:15:00,0.09078
2026-04-12 15:30:00,0.12298
2026-04-12 15:45:00,0.13648
2026-04-12 16:00:00,0.11765
2026-04-12 16:15:00,0.12649
2026-04-12 16:30:00,0.13793
2026-04-12 16:45:00,0.14477
2026-04-12 17:00:00,0.13697
2026-04-12 17:15:00,0.13659000000000002
2026-04-12 17:30:00,0.14546
2026-04-12 17:45:00,0.15705000000000002
2026-04-12 18:00:00,0.14887999999999998
2026-04-12 18:15:00,0.14783000000000002
2026-04-12 18:30:00,0.14609
2026-04-12 18:45:00,0.14023
2026-04-12 19:00:00,0.14092
2026-04-12 19:15:00,0.1353
2026-04-12 19:30:00,0.1373
2026-04-12 19:45:00,0.13341
2026-04-12 20:00:00,0.13959
2026-04-12 20:15:00,0.1347
2026-04-12 20:30:00,0.12872
2026-04-12 20:45:00,0.11942
2026-04-12 21:00:00,0.13505
2026-04-12 21:15:00,0.11932999999999999
2026-04-12 21:30:00,0.11942
2026-04-12 21:45:00,0.11023000000000001
